a,dureeFeu,ecarts
2.3,29.75,6.342650359856275
2.35,25.0,0.6510039770719642
2.35,25.25,2.0743456921195484
2.35,25.5,4.62648136153308
2.35,25.75,1.8000682490189934
2.35,26.0,3.0659287774188284
2.35,26.25,5.085096511261954
2.35,26.5,7.68919429211944
2.35,26.75,10.67215166058675
2.35,27.0,13.809209303845357
2.35,27.25,16.627501751128232
2.35,27.5,11.078816175578922
2.35,27.75,9.267933832508103
2.35,28.0,11.094725356208595
2.35,28.25,1.369065655843735
2.35,28.5,1.6357428504066232
2.35,28.75,2.097473236866348
2.35,29.0,2.85815767005026
2.35,29.25,3.7582209078924143
2.35,29.5,4.905284101267677
2.35,29.75,6.263508465009259
2.4,25.0,0.6016399644520656
2.4,25.25,1.962775891106778
2.4,25.5,1.6466619913217053
2.4,25.75,1.7936927654899395
2.4,26.0,3.001986122975075
2.4,26.25,4.990786024724248
2.4,26.5,7.566921903920947
2.4,26.75,10.588631156158085
2.4,27.0,13.642301327641857
2.4,27.25,16.10085242694937
2.4,27.5,11.181116542756644
2.4,27.75,8.965701808893698
2.4,28.0,6.96585112856609
2.4,28.25,1.3752444197271594
2.4,28.5,1.6267658854872677
2.4,28.75,2.0706663789945026
2.4,29.0,2.811845967107084
2.4,29.25,3.7032366717541043
2.4,29.5,4.814261191981588
2.4,29.75,6.181218960229892
2.45,25.0,0.5609375154968018
2.45,25.25,1.8689043249404391
2.45,25.5,1.7109189616508584
2.45,25.75,1.8003638914279918
2.45,26.0,2.957341093144651
2.45,26.25,4.920468757151715
2.45,26.5,7.468286469732774
2.45,26.75,10.498473090804959
2.45,27.0,13.29065772133866
2.45,27.25,8.41707401982288
2.45,27.5,6.804735629057655
2.45,27.75,8.736465112195287
2.45,28.0,1.5032201481182745
2.45,28.25,1.3848599889558086
2.45,28.5,1.619587006400496
2.45,28.75,2.0519664969889626
2.45,29.0,2.778799210634628
2.45,29.25,3.6626087401111644
2.45,29.5,4.7512862447801965
2.45,29.75,6.119298606564843
